c[1],c[2],c[3],c[4],c[5],c[6],c[7],c[8],c[9],c[10],c[11],c[12],c[13],c[14],c[15],c[16],c[17],c[18],p[1],p[2],p[3],p[4],p[5],p[6],p[7],p[8],p[9],p[10],p[11],p[12],p[13],p[14],p[15],p[16],p[17],p[18],h[1],g_plus[1],g_minus[1],dr[1],μ[1],μ[2],μ[3]
0.0,0.0,0.0,0.0,790.4183333333334,0.0,0.0,0.0,0.0,5998.582152777778,790.4183333333334,0.0,503.9930555555555,0.0,0.0,0.0,790.4183333333334,0.0,0.0,0.0,0.0,0.0,72.22222222222223,0.0,0.0,0.0,0.0,342.77777777777777,72.22222222222223,0.0,27.77777777777777,0.0,0.0,0.0,72.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503.9930555555556,303.8888888888889,355.83333333333337,522.4340277777778,324.2361111111111,333.0555555555556,503.9930555555556,303.8888888888889,355.83333333333337,7242.060833333333,324.2361111111111,333.0555555555556,6914.8438888888895,303.8888888888889,355.83333333333337,522.4340277777778,324.2361111111111,333.0555555555556,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,405.55555555555554,27.77777777777778,27.77777777777778,405.55555555555554,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778,22.222222222222214,0.0,55.55555555555554,1011.1111111111111,327.77777777777777,327.77777777777777,327.77777777777777
1043.4897222222226,0.0,0.0,1115.612916666667,790.4183333333334,0.0,0.0,0.0,0.0,522.4340277777778,790.4183333333334,0.0,503.9930555555556,0.0,0.0,0.0,0.0,0.0,72.22222222222223,0.0,0.0,72.22222222222223,72.22222222222223,0.0,0.0,0.0,0.0,27.77777777777778,72.22222222222223,0.0,27.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777777777778,0.0,0.0,0.0
1043.4897222222226,0.0,0.0,0.0,0.0,333.0555555555556,0.0,0.0,297.44444444444446,1115.612916666667,0.0,0.0,0.0,0.0,0.0,1115.612916666667,0.0,271.8888888888889,72.22222222222223,0.0,0.0,0.0,0.0,27.77777777777778,0.0,0.0,22.22222222222222,72.22222222222223,0.0,0.0,0.0,0.0,0.0,72.22222222222223,0.0,22.22222222222222,0.0,0.0,0.0,98.33333333333331,70.55555555555554,0.0,0.0
0.0,0.0,0.0,1115.612916666667,0.0,0.0,1043.4897222222226,0.0,0.0,394.15452000634446,790.4183333333334,0.0,1043.4897222222226,0.0,0.0,0.0,324.2361111111111,0.0,0.0,2.326447050065141,0.0,72.22222222222223,0.0,2.138397057565649,72.22222222222223,0.0,2.0114248933944805,21.3015087767525,72.22222222222223,0.0,72.22222222222223,0.0,0.0,0.0,27.77777777777778,0.0,27.77777777777778,0.0,0.0,27.77777777777778,0.0,0.0,0.0
1043.4897222222226,0.0,0.0,0.0,790.4183333333334,0.0,0.0,303.8888888888889,0.0,1115.612916666667,0.0,333.0555555555556,0.0,0.0,0.0,1115.612916666667,0.0,0.0,72.22222222222223,0.0,0.0,0.0,72.22222222222223,0.0,0.0,27.77777777777778,0.0,72.22222222222223,2.191972994892703,27.77777777777778,0.0,0.0,0.0,72.22222222222223,0.0,0.0,0.0,0.0,0.0,125.58580478288461,97.80802700510682,0.0,0.0
0.0,0.0,355.8333333329447,0.0,0.0,0.0,1043.4897222222226,0.0,0.0,0.0,0.0,0.0,1043.4897222222226,0.0,0.0,1115.612916666667,790.4183333333334,0.0,0.0,0.0,27.777777777749634,0.0,0.0,0.0,72.22222222222223,0.0,0.0,0.0,0.0,0.0,72.22222222222223,0.0,0.0,72.22222222222223,72.22222222222223,0.0,0.0,0.0,0.0,355.55555555555554,0.0,327.77777777777777,0.0
1043.4897222222226,0.0,0.0,1115.612916666667,324.2361111111111,0.0,0.0,1309.822222222222,0.0,1115.612916666667,790.4183333333334,271.8888888888889,0.0,0.0,0.0,0.0,0.0,0.0,72.22222222222223,2.326447050065141,0.0,72.22222222222223,27.77777777777778,0.0,0.0,120.0,0.0,72.22222222222223,72.22222222222223,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.00688628326812,0.0,0.0,83.22910850549033
0.0,0.0,297.44444444444446,0.0,0.0,0.0,1043.4897222222226,770.8888888888889,297.44444444444446,0.0,0.0,0.0,1043.4897222222226,770.8888888888889,0.0,1115.612916666667,324.2361111111111,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,72.22222222222223,72.22222222222223,22.22222222222222,0.0,0.0,0.0,72.22222222222223,72.22222222222223,0.0,72.22222222222223,27.77777777777778,0.0,0.0,0.0,0.0,295.83333333333337,268.0555555555556,0.0,0.0
1043.4897222222226,2576.8888888888887,0.0,0.0,0.0,0.0,503.9930555555556,0.0,0.0,1115.612916666667,790.4183333333334,333.0555555555556,0.0,0.0,0.0,1115.612916666667,1932.09431481388,0.0,72.22222222222223,227.77777777777777,0.0,1.402378012395619,0.0,0.0,27.77777777777778,0.0,0.0,72.22222222222223,72.22222222222223,27.77777777777778,0.0,0.0,0.0,72.22222222222223,170.8198442098266,0.0,0.0,0.0,0.0,27.77777777777778,0.0,0.0,0.0
