Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36
1000.0,1000.0,1000.0,909.0909090909075,909.0909090909091,909.0909090909091,305.00000000000006,293.61111111111177,300.00000000000006,279.99999999999983,300.0,265.5555555555557,263.38781864176065,299.50320053501486,287.74326827396953,246.11111111111137,277.2992374214152,258.3973109018525,235.0,240.00000000000006,239.9999999999999,272.4999999999999,276.11111111111126,251.30689474279612,260.0,237.98384222800968,244.88869135687372,200.5555555555558,251.24527147374383,254.77738271374773,258.98727100363993,236.94444444444497,284.0942806421272,260.3995048697418,282.24857917822413,229.9546713735647
1000.0,1000.0,1000.0,276.026718913978,280.9090909090909,278.7495551723194,215.83333333333337,281.3888888888881,275.0,294.9999999999997,275.00000000000006,289.9999999999997,311.6121813582394,275.49679946498514,285.6245745631728,293.88888888888874,300.0,280.5365126275592,252.03703703703715,267.22222222222223,246.11111111111126,238.8888888888884,228.8888888888888,209.32452046982075,215.00000000000006,238.12726888310118,250.00000000000006,249.4444444444439,195.9653071218778,227.46722146590196,209.99999999999994,287.0833333333323,274.0277777777778,282.0661715364086,270.55555555555617,238.71881324584925
1000.0,550.0,263.2044701101475,204.11356101924002,214.11356101923843,258.36467657605874,334.4444444444444,338.61111111111194,315.0,281.1111111111113,281.1111111111111,300.55555555555566,210.80895230246267,241.60791057609632,267.7432682739688,249.9999999999999,249.9999999999999,249.9999999999999,249.07407407407416,250.0,263.88888888888897,329.72222222222285,336.11111111111103,310.6754795301792,315.4442469124292,290.00000000000034,271.1111111111111,315.55555555555566,337.93522539361186,308.64388964520884,287.9800159872109,244.02777777777715,249.9999999999999,255.0000000000001,249.99999999999994,303.6734846194128
1000.0,1000.0,270.0,277.8222488038305,266.1111111111111,246.63532342394132,190.5555555555556,218.79629629629605,270.0,270.0,270.0,255.0,370.00000000000006,335.00000000000006,270.0,330.5555555555555,335.00000000000006,327.1772875816994,339.9999999999999,301.11111111111103,326.11111111111103,270.0,270.0,270.0,270.0,299.9999999999998,281.22241975423816,270.0,247.06477460638808,270.0,270.0,253.05555555555554,262.9890526912057,269.9999999999999,268.3069763773308,268.76414187228426
1000.0,1000.0,1000.0,243.17123430239542,250.0,271.6353234239413,335.55555555555554,349.99999999999994,300.74547697784243,335.0,340.0,350.0,201.69390932087958,250.0,315.0,245.5555555555555,198.73485849050368,250.0,187.037037037037,250.0,200.00000000000006,269.9999999999996,260.0000000000004,310.43563158093195,286.5553580235399,207.98384222800973,250.00000000000009,250.55555555555657,279.046336504723,262.46722146590196,255.0,249.02777777777766,250.00000000000009,226.1111111111113,250.0,256.23585812771563
1000.0,1000.0,300.0,181.82876569760458,175.0,153.36467657605868,145.5555555555555,173.79629629629605,175.3656341332686,179.99999999999986,205.5555555555555,200.5555555555555,297.72329246935203,249.99999999999994,253.3678428371423,250.00000000000006,276.26514150949623,250.0,299.99999999999994,249.99999999999994,279.9999999999999,203.6111111111119,224.99999999999983,209.56436841906805,229.55575308757108,267.0161577719904,249.99999999999994,240.55555555555526,242.06477460638814,235.0000000000001,240.55555555555551,250.00000000000006,249.9999999999999,256.29629629629613,249.9999999999999,232.43762649169793
1000.0,350.0,199.99999999999994,316.3757044125431,323.20447011014755,347.7464345350524,344.4444444444444,341.1111111111111,322.47000091016656,305.0,214.44444444444446,230.0,199.99999999999994,199.99999999999994,199.99999999999994,231.94444444444446,199.99999999999994,199.99999999999994,200.0,200.0000000000001,199.99999999999994,199.99999999999994,200.0,199.99999999999994,199.99999999999994,200.0,200.00000000000006,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,227.6508615913358,200.00000000000006,199.99999999999994
1000.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,240.55555555555554,225.0,250.0000000000001,250.0,250.0,223.05555555555563,216.11111111111106,233.93382352941182,250.0,250.0,250.0,249.99999999999994,250.0,250.0,250.0,250.0,238.77758024576184,249.99999999999994,250.0,250.0,250.0,250.0000000000009,250.0,227.34913840866415,250.0,250.0
1000.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,128.05555555555557,150.0,150.0,150.0,150.0,117.74326827396838,143.05555555555537,150.0,140.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
